ScenarioID,SimIndex,LookIndex,Status,BdryStopCode,RDGUserErrorCode,TestStat,ErrorCode,TrueHR
1,1,1,SUCCESS,1,0,-2.03980090291887,0,0.795365650316501
1,2,1,SUCCESS,1,0,-5.44457195402384,0,0.637036254301537
1,3,1,SUCCESS,0,0,-1.27342908638252,0,0.817324675832391
1,4,1,SUCCESS,1,0,-2.91487260903007,0,0.769231206102025
1,5,1,SUCCESS,1,0,-2.57464461684194,0,0.756259758078691
1,6,1,SUCCESS,0,0,-0.744698738381579,0,0.865372874893655
1,7,1,SUCCESS,0,0,-1.8022833555849,0,0.764272653659157
1,8,1,SUCCESS,0,0,-0.205758630247171,0,0.829129440101108
1,9,1,SUCCESS,1,0,-4.33403759218756,0,0.700151382866
1,10,1,SUCCESS,0,0,-0.245891577835264,0,0.846552666315417
1,11,1,SUCCESS,1,0,-3.3175361037595,0,0.730810383031878
1,12,1,SUCCESS,0,0,-0.410389731609806,0,0.910716372335435
1,13,1,SUCCESS,1,0,-2.04152094100947,0,0.799757617860948
1,14,1,SUCCESS,1,0,-4.01915055182227,0,0.713288415508854
1,15,1,SUCCESS,1,0,-2.17693450112931,0,0.808393397431925
1,16,1,SUCCESS,0,0,-1.82193069174289,0,0.790339051827721
1,17,1,SUCCESS,1,0,-3.08740023128342,0,0.817257030921031
1,18,1,SUCCESS,1,0,-3.19195401404583,0,0.897360073490501
1,19,1,SUCCESS,1,0,-2.09003923998119,0,0.675222751327206
1,20,1,SUCCESS,1,0,-5.03285587983159,0,0.723091787667702
1,21,1,SUCCESS,1,0,-1.9879774867398,0,0.793928395720615
1,22,1,SUCCESS,1,0,-2.34129232954089,0,0.712852931874287
1,23,1,SUCCESS,1,0,-2.31179680674702,0,0.81922006290576
1,24,1,SUCCESS,0,0,-0.844534973864878,0,0.871596630856933
1,25,1,SUCCESS,1,0,-3.82282263731904,0,0.778619023558466
1,26,1,SUCCESS,0,0,-1.12815351289052,0,0.84210883027833
1,27,1,SUCCESS,1,0,-3.27600287916396,0,0.746303741747949
1,28,1,SUCCESS,1,0,-3.17275358162454,0,0.797805439146171
1,29,1,SUCCESS,1,0,-2.6675348974062,0,0.643676330556794
1,30,1,SUCCESS,1,0,-4.74802198968518,0,0.749884050288755
1,31,1,SUCCESS,0,0,-1.09975083063968,0,0.757984640002627
1,32,1,SUCCESS,1,0,-3.723412925678,0,0.754320806633927
1,33,1,SUCCESS,1,0,-2.08963946744977,0,0.768598312737595
1,34,1,SUCCESS,0,0,-1.51399129430557,0,0.680565331810372
1,35,1,SUCCESS,1,0,-2.3164446628115,0,0.77765890232174
1,36,1,SUCCESS,1,0,-1.96771198824085,0,0.717644495489699
1,37,1,SUCCESS,0,0,-0.613383635991275,0,0.794326926672543
1,38,1,SUCCESS,0,0,-0.610497809720614,0,0.863984171158425
1,39,1,SUCCESS,1,0,-2.09958955934626,0,0.637926368820075
1,40,1,SUCCESS,1,0,-3.23931611179961,0,0.804436548590447
1,41,1,SUCCESS,1,0,-2.22574046760535,0,0.738732550406244
1,42,1,SUCCESS,1,0,-2.6299314429816,0,0.734697354271217
1,43,1,SUCCESS,0,0,-1.15703909560916,0,0.756095145319624
1,44,1,SUCCESS,1,0,-2.34442096775905,0,0.705290136435843
1,45,1,SUCCESS,1,0,-3.53603618875078,0,0.69117952826271
1,46,1,SUCCESS,1,0,-2.88375581284542,0,0.818541292697971
1,47,1,SUCCESS,1,0,-4.84344949641962,0,0.600223864896941
1,48,1,SUCCESS,1,0,-2.56842917886336,0,0.669718733003776
1,49,1,SUCCESS,0,0,-1.95338559177797,0,0.830738237197215
1,50,1,SUCCESS,1,0,-3.00291732694597,0,0.777352308653648
1,51,1,SUCCESS,0,0,-1.12852414959482,0,0.768867917317574
1,52,1,SUCCESS,1,0,-2.768184132172,0,0.720289234302505
1,53,1,SUCCESS,1,0,-2.66669925874994,0,0.768779037548159
1,54,1,SUCCESS,1,0,-2.32306560883871,0,0.804313401798274
1,55,1,SUCCESS,1,0,-4.36151282693723,0,0.649424602720344
1,56,1,SUCCESS,1,0,-4.07596837144856,0,0.732285265549302
1,57,1,SUCCESS,1,0,-3.35541793987242,0,0.692524238798617
1,58,1,SUCCESS,1,0,-4.90611297119151,0,0.650329589374415
1,59,1,SUCCESS,1,0,-2.76004248764314,0,0.782632654887516
1,60,1,SUCCESS,1,0,-2.62996715933894,0,0.744246864270357
1,61,1,SUCCESS,1,0,-4.49842114579304,0,0.704568122775556
1,62,1,SUCCESS,0,0,-1.92499525034647,0,0.763129911135881
1,63,1,SUCCESS,1,0,-2.12437620307084,0,0.799479056903875
1,64,1,SUCCESS,1,0,-2.58820505387354,0,0.776351656458501
1,65,1,SUCCESS,1,0,-2.63585946014976,0,0.732782433528041
1,66,1,SUCCESS,1,0,-4.54708486264498,0,0.756831602770674
1,67,1,SUCCESS,0,0,-0.474194749527284,0,0.899209412345753
1,68,1,SUCCESS,1,0,-2.5662605426368,0,0.706291223685351
1,69,1,SUCCESS,0,0,-0.311381737729897,0,0.833391009351082
1,70,1,SUCCESS,1,0,-3.65259632472822,0,0.840406692094034
1,71,1,SUCCESS,1,0,-3.6505913180711,0,0.78933758741121
1,72,1,SUCCESS,1,0,-3.29090886239557,0,0.730093847504706
1,73,1,SUCCESS,1,0,-3.63105259914149,0,0.755215748005098
1,74,1,SUCCESS,1,0,-2.57585224887827,0,0.841192552258474
1,75,1,SUCCESS,1,0,-2.43234714293066,0,0.76138661690759
1,76,1,SUCCESS,1,0,-3.3989262796324,0,0.721667172996468
1,77,1,SUCCESS,0,0,-1.4833047709903,0,0.731780501330028
1,78,1,SUCCESS,1,0,-2.21373051850842,0,0.731884769592767
1,79,1,SUCCESS,0,0,-1.48600973413979,0,0.75734933433049
1,80,1,SUCCESS,1,0,-4.38733192074529,0,0.755503055306796
1,81,1,SUCCESS,1,0,-2.98421685662954,0,0.6415528406602
1,82,1,SUCCESS,1,0,-2.99700538777011,0,0.804778902178904
1,83,1,SUCCESS,1,0,-4.15994220208113,0,0.849805241748259
1,84,1,SUCCESS,0,0,-1.60839742181906,0,0.791454200890615
1,85,1,SUCCESS,1,0,-3.48892625278971,0,0.652445550901296
1,86,1,SUCCESS,1,0,-2.16084516672503,0,0.795767977985521
1,87,1,SUCCESS,1,0,-2.9215554152821,0,0.822600401994791
1,88,1,SUCCESS,0,0,-1.38564762365665,0,0.766207230802118
1,89,1,SUCCESS,0,0,0.208551669258329,0,0.838813992765383
1,90,1,SUCCESS,0,0,0.415182939683809,0,0.840909400372449
1,91,1,SUCCESS,1,0,-2.00239269372174,0,0.78435742154921
