ModelID,SimIndex,AnalysisIndex,Status,Decision,RDGUserErrorCode,ErrorCode,PostProb,dTrueDelta,dCtrlPostMean,dCtrlPostVar,dExpPostMean,dExpPostVar,dObsMeanCtrl,dObsMeanExp,dSimMeanCtrl,dSimMeanExp
f7afde25-855c-46c6-8981-af6699895f69,1,1,SUCCESS,Futility,0,0,0.3667,0.467341111409769,0.0860946741623821,0.0451249979637345,0.585286347321912,0.0451249979637345,0.0860946780474043,0.585286373732958,,
f7afde25-855c-46c6-8981-af6699895f69,2,1,INSUFFICIENT_INFO,Efficacy,0,0,0.92082,0.573823685572253,-0.441745280752962,0.0451249979637345,0.581416590734183,0.0451249979637345,-0.441745300686718,0.581416616970607,,
f7afde25-855c-46c6-8981-af6699895f69,3,1,INSUFFICIENT_INFO,Efficacy,0,0,0.99964,1.15274114617872,-0.334324277297256,0.0451249979637345,1.28433268429083,0.0451249979637345,-0.334324292383639,1.28433274224634,,
f7afde25-855c-46c6-8981-af6699895f69,4,1,INSUFFICIENT_INFO,Futility,0,0,0.27392,0.8061138248227,0.217485454676199,0.0451249979637345,0.637284450567106,0.0451249979637345,0.21748546449023,0.637284479324567,,
f7afde25-855c-46c6-8981-af6699895f69,5,1,SUCCESS,Futility,0,0,0.06854,0.00685707552129107,-0.0798025534091987,0.0451249979637345,0.0725021088638582,0.0451249979637345,-0.0798025570102889,0.0725021121355159,,
f7afde25-855c-46c6-8981-af6699895f69,6,1,INSUFFICIENT_INFO,Futility,0,0,0.5493,0.838233661140627,0.0468054299292773,0.0451249979637345,0.681420923643949,0.0451249979637345,0.0468054320413723,0.681420954393068,,
f7afde25-855c-46c6-8981-af6699895f69,7,1,INSUFFICIENT_INFO,Futility,0,0,0.79982,0.658337939538474,-0.306574317187206,0.0451249979637345,0.547468276237912,0.0451249979637345,-0.306574331021372,0.547468300942418,,
f7afde25-855c-46c6-8981-af6699895f69,8,1,INSUFFICIENT_INFO,Futility,0,0,0.00084,-0.0561505738495963,0.162531572682231,0.0451249979637345,-0.20919840873263,0.0451249979637345,0.162531580016468,-0.209198418172709,,
f7afde25-855c-46c6-8981-af6699895f69,9,1,INSUFFICIENT_INFO,Futility,0,0,0.7501,0.421395500597462,-0.154512974241622,0.0451249979637345,0.647850675883016,0.0451249979637345,-0.15451298121402,0.647850705117278,,
f7afde25-855c-46c6-8981-af6699895f69,10,1,INSUFFICIENT_INFO,Efficacy,0,0,0.93674,1.13864867874004,-0.00592927916123346,0.0451249979637345,1.05243307637276,0.0451249979637345,-0.00592927942879218,1.0524331238638,,
f7afde25-855c-46c6-8981-af6699895f69,11,1,SUCCESS,Futility,0,0,0.1605,0.697688092258841,0.301572099262482,0.0451249979637345,0.601564554639969,0.0451249979637345,0.301572112870923,0.601564581785569,,
f7afde25-855c-46c6-8981-af6699895f69,12,1,SUCCESS,Futility,0,0,0.05164,-0.0401461374081623,-0.0123145391833569,0.0451249979637345,0.0978938537909656,0.0451249979637345,-0.0123145397390504,0.0978938582084257,,
f7afde25-855c-46c6-8981-af6699895f69,13,1,SUCCESS,Efficacy,0,0,0.87018,0.884205358085168,-0.362433406517513,0.0451249979637345,0.579852417097941,0.0451249979637345,-0.36243342287232,0.579852443263781,,
f7afde25-855c-46c6-8981-af6699895f69,14,1,INSUFFICIENT_INFO,Futility,0,0,0.73776,0.855241066495296,-0.237668534342242,0.0451249979637345,0.550188168700817,0.0451249979637345,-0.237668545067034,0.550188193528058,,
f7afde25-855c-46c6-8981-af6699895f69,15,1,SUCCESS,Futility,0,0,0.02294,-0.13774018274659,0.0729455558685682,0.0451249979637345,0.0758825857846938,0.0451249979637345,0.0729455591602364,0.0758825892088955,,
f7afde25-855c-46c6-8981-af6699895f69,16,1,SUCCESS,Futility,0,0,0.00474,0.0600860667580019,0.354000249729754,0.0451249979637345,0.163629183064964,0.0451249979637345,0.354000265704015,0.163629190448731,,
f7afde25-855c-46c6-8981-af6699895f69,17,1,SUCCESS,Futility,0,0,0.64336,0.980997906236232,0.0371623428764832,0.0451249979637345,0.744123282136444,0.0451249979637345,0.0371623445534339,0.744123315715007,,
f7afde25-855c-46c6-8981-af6699895f69,18,1,SUCCESS,Futility,0,0,0.5147,0.619009716131762,0.15627471434108,0.0451249979637345,0.765257367962217,0.0451249979637345,0.156274721392976,0.765257402494456,,
f7afde25-855c-46c6-8981-af6699895f69,19,1,SUCCESS,Futility,0,0,0.72374,0.718150501077018,0.0133713470346635,0.0451249979637345,0.792836851348507,0.0451249979637345,0.0133713476380455,0.79283688712527,,
f7afde25-855c-46c6-8981-af6699895f69,20,1,INSUFFICIENT_INFO,Futility,0,0,0.50304,0.715618304676359,-0.0735239681611887,0.0451249979637345,0.528254356004543,0.0451249979637345,-0.0735239714789578,0.528254379842021,,
f7afde25-855c-46c6-8981-af6699895f69,21,1,SUCCESS,Futility,0,0,0.54372,0.123458244470388,-0.301729441429314,0.0451249979637345,0.331648346616512,0.0451249979637345,-0.301729455044855,0.331648361582144,,
f7afde25-855c-46c6-8981-af6699895f69,22,1,INSUFFICIENT_INFO,Futility,0,0,0.5369,0.731011004874837,0.0964877337559104,0.0451249979637345,0.724259880955124,0.0451249979637345,0.0964877381099194,0.724259913637352,,
f7afde25-855c-46c6-8981-af6699895f69,23,1,SUCCESS,Futility,0,0,0.59928,0.862028180766131,0.149849793406222,0.0451249979637345,0.829022823067701,0.0451249979637345,0.149849800168194,0.829022860477356,,
f7afde25-855c-46c6-8981-af6699895f69,24,1,INSUFFICIENT_INFO,Efficacy,0,0,0.91054,0.618453211233063,-0.216475731829063,0.0451249979637345,0.788219596285495,0.0451249979637345,-0.21647574159753,0.788219631853905,,
f7afde25-855c-46c6-8981-af6699895f69,25,1,INSUFFICIENT_INFO,Efficacy,0,0,0.928,0.554447607528919,-0.273555761405035,0.0451249979637345,0.76588001466145,0.0451249979637345,-0.273555773749238,0.765880049221785,,
f7afde25-855c-46c6-8981-af6699895f69,26,1,INSUFFICIENT_INFO,Futility,0,0,0.11242,0.460703337349669,-0.0914975302594532,0.0451249979637345,0.145810927994649,0.0451249979637345,-0.0914975343882793,0.145810934574367,,
f7afde25-855c-46c6-8981-af6699895f69,27,1,SUCCESS,Futility,0,0,0.4224,0.658086215871043,-0.237008488939055,0.0451249979637345,0.305626886002959,0.0451249979637345,-0.237008499634063,0.305626899794372,,
f7afde25-855c-46c6-8981-af6699895f69,28,1,INSUFFICIENT_INFO,Futility,0,0,0.05446,0.20519755319501,0.243978137025352,0.0451249979637345,0.355863522564222,0.0451249979637345,0.243978148034866,0.355863538622564,,
f7afde25-855c-46c6-8981-af6699895f69,29,1,INSUFFICIENT_INFO,Futility,0,0,0.00022,-0.0527585843526709,0.126331675269181,0.0451249979637345,-0.365893425205536,0.0451249979637345,0.126331680969898,-0.365893441716477,,
f7afde25-855c-46c6-8981-af6699895f69,30,1,SUCCESS,Efficacy,0,0,0.93806,0.132941978481672,-0.702718934236632,0.0451249979637345,0.36026685371333,0.0451249979637345,-0.702718965946824,0.360266869970372,,
f7afde25-855c-46c6-8981-af6699895f69,31,1,SUCCESS,Futility,0,0,0.54024,0.660524052915843,0.318504537121264,0.0451249979637345,0.944672627915106,0.0451249979637345,0.318504551493781,0.944672670543458,,
