ScenarioID,SimIndex,LookIndex,Status,BdryStopCode,RDGUserErrorCode,ErrorCode,PostProb,dTrueDelta,dCtrlPostMean,dCtrlPostVar,dExpPostMean,dExpPostVar,dObsMeanCtrl,dObsMeanExp,dSimMeanCtrl,dSimMeanExp
1,1,1,SUCCESS,2,0,0,1,1.3615,-0.157191354883147,0.0180499996741975,1.45696547195965,0.0180499996741975,-0.157191357720451,1.45696549825788,,
1,2,1,SUCCESS,2,0,0,0.98858,0.90682,-0.0635025706482149,0.0180499996741975,0.968532583167481,0.0180499996741975,-0.0635025717944363,0.968532600649494,,
1,3,1,SUCCESS,2,0,0,0.99432,0.84342,-0.302320939000851,0.0180499996741975,0.782953444622102,0.0180499996741975,-0.302320944457744,0.782953458754411,,
1,4,1,SUCCESS,2,0,0,1,0.89696,-0.304987007613513,0.0180499996741975,1.22235062975032,0.0180499996741975,-0.304987013118529,1.22235065181374,,
1,5,1,SUCCESS,2,0,0,0.54308,0.53704,-0.047012300869325,0.0180499996741975,0.575012085970781,0.0180499996741975,-0.0470123017178971,0.575012096349749,,
1,6,1,SUCCESS,2,0,0,0.80926,0.85812,-0.101163358540511,0.0180499996741975,0.666369450492955,0.0180499996741975,-0.10116336036651,0.666369462520924,,
1,7,1,SUCCESS,2,0,0,0.7358,0.94249,0.241041433524242,0.0180499996741975,0.958817547401837,0.0180499996741975,0.24104143787504,0.958817564708493,,
1,8,1,SUCCESS,2,0,0,0.99896,1.05688,-0.0986223137386052,0.0180499996741975,1.09021977030367,0.0180499996741975,-0.0986223155187379,1.09021978998213,,
1,9,1,SUCCESS,2,0,0,0.85794,0.8691,0.161884954309354,0.0180499996741975,0.964500063315271,0.0180499996741975,0.161884957231378,0.964500080724497,,
1,10,1,SUCCESS,2,0,0,0.73744,0.75071,-0.0113140809000154,0.0180499996741975,0.708876191686085,0.0180499996741975,-0.0113140811042346,0.7088762044813,,
1,11,1,SUCCESS,2,0,0,0.93254,0.97916,-0.000139724701563869,0.0180499996741975,0.883886543990119,0.0180499996741975,-0.0001397247040859,0.883886559944271,,
1,12,1,SUCCESS,3,0,0,0.22538,0.68689,0.119838718159668,0.0180499996741975,0.577592919418645,0.0180499996741975,0.119838720322757,0.577592929844197,,
1,13,1,SUCCESS,2,0,0,0.70542,0.77615,0.0504066989835054,0.0180499996741975,0.75215632851983,0.0180499996741975,0.0504066998933464,0.752156342096252,,
1,14,1,SUCCESS,2,0,0,1,1.17662,-0.420768468569887,0.0180499996741975,1.00508173511196,0.0180499996741975,-0.420768476164758,1.00508175325368,,
1,15,1,SUCCESS,2,0,0,0.5993,0.98723,0.174416041889811,0.0180499996741975,0.820914217828622,0.0180499996741975,0.174416045038021,0.820914232646124,,
1,16,1,SUCCESS,2,0,0,0.99978,1.16954,-0.0728437688402604,0.0180499996741975,1.23193721264064,0.0180499996741975,-0.0728437701550904,1.23193723487711,,
1,17,1,SUCCESS,3,0,0,0.4875,0.57812,0.00455987131907871,0.0180499996741975,0.597513987727286,0.0180499996741975,0.00455987140138438,0.597513998512414,,
1,18,1,SUCCESS,2,0,0,0.995,1.09926,0.115615817317534,0.0180499996741975,1.20403852945459,0.0180499996741975,0.1156158194044,1.20403855118748,,
1,19,1,SUCCESS,2,0,0,0.98844,1.14049,0.139603119858967,0.0180499996741975,1.16919144543431,0.0180499996741975,0.139603122378803,1.16919146653821,,
1,20,1,SUCCESS,2,0,0,0.93902,0.78999,0.00778472201660902,0.0180499996741975,0.90149248771497,0.0180499996741975,0.00778472215712326,0.90149250398691,,
1,21,1,SUCCESS,2,0,0,0.99242,0.98403,-0.189249972036432,0.0180499996741975,0.872489811571659,0.0180499996741975,-0.189249975452394,0.8724898273201,,
1,22,1,SUCCESS,2,0,0,0.97798,0.92938,-0.0526633405800103,0.0180499996741975,0.928566302884453,0.0180499996741975,-0.0526633415305836,0.928566319645075,,
1,23,1,SUCCESS,2,0,0,0.99964,1.32459,-0.0147945218020287,0.0180499996741975,1.21795154300777,0.0180499996741975,-0.0147945220690698,1.21795156499179,,
1,24,1,SUCCESS,2,0,0,0.59124,0.64149,-0.00670405807945131,0.0180499996741975,0.637661402236257,0.0180499996741975,-0.00670405820045955,0.637661413746045,,
1,25,1,SUCCESS,3,0,0,0.10276,0.58104,0.103400348109825,0.0180499996741975,0.463412060624273,0.0180499996741975,0.103400349976201,0.463412068988861,,
1,26,1,SUCCESS,2,0,0,0.99836,1.07116,0.0370220369299826,0.0180499996741975,1.19439313465281,0.0180499996741975,0.0370220375982303,1.1943931562116,,
1,27,1,SUCCESS,2,0,0,0.99924,1.32816,-0.0236820951013893,0.0180499996741975,1.18080513360715,0.0180499996741975,-0.0236820955288511,1.18080515492068,,
1,28,1,SUCCESS,2,0,0,0.9986,1.04431,-0.209556419294195,0.0180499996741975,0.959129071652838,0.0180499996741975,-0.209556423076688,0.959129088965118,,
1,29,1,SUCCESS,2,0,0,0.53258,0.69168,0.0639017703587673,0.0180499996741975,0.67854840869845,0.0180499996741975,0.0639017715121943,0.678548420946249,,
1,30,1,SUCCESS,2,0,0,0.59026,0.8525,0.078469273684122,0.0180499996741975,0.721811405376722,0.0180499996741975,0.0784692751004924,0.721811418405418,,
1,31,1,SUCCESS,2,0,0,0.9997,1.07665,-0.165065736626579,0.0180499996741975,1.10219223164971,0.0180499996741975,-0.165065739606016,1.10219225154428,,
1,32,1,SUCCESS,3,0,0,0.32434,0.984,0.325022812550952,0.0180499996741975,0.838486811134162,0.0180499996741975,0.325022818417614,0.838486826268849,,
