ModelID,SimIndex,AnalysisIndex,Status,Decision,RDGUserErrorCode,TestStat,PostProb,dTrueDelta,ErrorCode
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,1,1,SUCCESS,Futility,0,0,0.22164,0.976060547587586,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,2,1,SUCCESS,Futility,0,0,0.56314,0.885787556940703,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,3,1,SUCCESS,Efficacy,0,0,0.98738,1.0981106537593,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,4,1,SUCCESS,Futility,0,0,4e-05,-0.0672355325477299,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,5,1,SUCCESS,Efficacy,0,0,0.87834,0.822474299115468,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,6,1,SUCCESS,Futility,0,0,0,-0.223655869065524,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,7,1,SUCCESS,Futility,0,0,0.00234,-0.0588725132450452,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,8,1,SUCCESS,Futility,0,0,0.17056,0.788889915124684,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,9,1,SUCCESS,Futility,0,0,0.6831,0.618288866762926,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,10,1,SUCCESS,Futility,0,0,0.2565,-0.0145441976759313,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,11,1,SUCCESS,Futility,0,0,0.35922,-0.06893688915491,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,12,1,SUCCESS,Futility,0,0,0.34548,0.807958837460957,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,13,1,SUCCESS,Efficacy,0,0,0.94978,1.00426337634524,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,14,1,SUCCESS,Futility,0,0,0.53638,0.703652772997984,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,15,1,SUCCESS,Futility,0,0,0.0004,0.0691140839954818,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,16,1,SUCCESS,Futility,0,0,0.16858,0.657386360805272,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,17,1,SUCCESS,Futility,0,0,0.76276,0.946146159672557,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,18,1,SUCCESS,Futility,0,0,0.1381,0.723604719525281,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,19,1,SUCCESS,Futility,0,0,0.28872,0.533870330868719,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,20,1,SUCCESS,Futility,0,0,0.11058,0.266392618583007,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,21,1,SUCCESS,Futility,0,0,0.48094,0.624450237925462,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,22,1,SUCCESS,Futility,0,0,0.1359,0.71609706528702,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,23,1,SUCCESS,Futility,0,0,0.02478,0.30255411626323,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,24,1,SUCCESS,Futility,0,0,0.31066,1.00441277121823,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,25,1,SUCCESS,Futility,0,0,0.03942,0.700410108730055,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,26,1,SUCCESS,Efficacy,0,0,0.9804,1.10164553202194,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,27,1,SUCCESS,Futility,0,0,0.4913,1.03179171070098,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,28,1,SUCCESS,Efficacy,0,0,0.99594,0.714506069325032,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,29,1,SUCCESS,Futility,0,0,0.01774,0.519792306892107,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,30,1,SUCCESS,Futility,0,0,0.00836,-0.161753854170667,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,31,1,SUCCESS,Futility,0,0,0.21104,0.616888644074478,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,32,1,SUCCESS,Futility,0,0,0.00828,0.0459856322730551,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,33,1,SUCCESS,Futility,0,0,0.00068,0.0062516347370556,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,34,1,SUCCESS,Futility,0,0,0.14654,0.414312762191896,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,35,1,SUCCESS,Futility,0,0,0.00022,0.00704994205088233,0
b8fb78e6-4e9f-402a-98a4-cf21b2a87d5c,36,1,SUCCESS,Futility,0,0,0.3526,0.772615170289956,0
